sentence,sentiment,pred_sentiment,net_score
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,neutral,0
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,neutral,0
$SPY wouldn't be surprised to see a green close,positive,neutral,0
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,positive,1
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,positive,1
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,positive,1
$FB gone green on day,positive,neutral,0
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,neutral,0
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,positive,1
Shire CEO steps up drive to get Baxalta board talking,positive,neutral,0
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,neutral,0
- Profit before taxes was EUR 105.9 82.7 million .,neutral,positive,1
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,negative,-2
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,positive,1
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,neutral,0
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,neutral,0
InterContinental Hotels first-quarter global room revenue lags estimates,negative,positive,1
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,neutral,0
"L&G still paying price for dividend cut during crisis, chief says",negative,neutral,0
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,positive,1
Profit of the accounting period was EUR 0.3 mn .,neutral,positive,1
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,neutral,0
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,neutral,0
Tesco share price jumps as Q3 sales top estimates,positive,neutral,0
The fine print is here .,neutral,negative,-1
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,negative,-2
AstraZeneca profit down as sales of stalwarts fade,negative,positive,1
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,neutral,0
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,neutral,0
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,negative,-1
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,positive,1
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,neutral,0
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,positive,1
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,positive,1
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,neutral,0
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,positive,1
$YANG Double bottom 5.2,positive,neutral,0
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,negative,-1
$TSLA recall,negative,neutral,0
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,negative,-1
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,neutral,0
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,neutral,0
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,negative,-1
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,negative,-1
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,positive,1
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,positive,2
The total value of the contract is some EUR 8 million .,neutral,positive,1
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,positive,1
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,neutral,0
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive,neutral,0
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",negative,neutral,0
$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive,neutral,0
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,neutral,0
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",neutral,positive,2
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",negative,neutral,0
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive,neutral,0
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",positive,neutral,0
"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",neutral,positive,1
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral,positive,1
BG Group appoints new CEO one month early,neutral,positive,1
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive,neutral,0
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive,neutral,0
Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,neutral,positive,2
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral,positive,1
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,positive,neutral,0
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive,neutral,0
$VMW  Got a nice push today following small sweepers of May C this morning,positive,neutral,0
"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",positive,neutral,0
"More than 50,000 tonnes of asphalt mix will be used in the contract .",neutral,positive,1
"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",neutral,positive,1
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",neutral,negative,-2
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",negative,neutral,0
Nordea was the cheapest also for a couple in their 30s with debt .,neutral,negative,-1
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",negative,neutral,0
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",negative,neutral,0
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",positive,neutral,0
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,neutral,0
CEO Erkki J+ñrvinen is happy with the company 's performance in 2010 .,positive,neutral,0
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",positive,neutral,0
"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",neutral,negative,-1
"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .",neutral,positive,1
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",negative,neutral,0
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",neutral,positive,1
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",neutral,negative,-1
Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .,neutral,positive,1
Full-year operating result for 2008 was 3.6 million negative .,neutral,negative,-1
$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,negative,neutral,0
"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",positive,neutral,0
We make available the following brand-new market analyses Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Philippines These analyses give a clear overview of the actual situation and future outlook of the cement industry in some Asian countries .,neutral,positive,1
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",neutral,positive,1
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",positive,neutral,0
HELSINKI ( AFX ) - Outokumpu said it has agreed to sell the Hitura nickel mine in Finland to Canadian group Belvedere Resources Ltd for 10 mln eur worth of Belvedere shares .,neutral,negative,-1
Just went long $ILMN,positive,neutral,0
Johnson Matthey share price slumps as company posts full-year results,negative,neutral,0
"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",neutral,positive,1
"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .",neutral,negative,-1
The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,neutral,negative,-1
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",negative,positive,1
N-Viro operates processing facilities independently as well as in partnership with municipalities .,neutral,positive,1
The number of bodily injury cases quadrupled in 2000-2006 .,negative,neutral,0
And U.S. energy executives say high steel prices are threatening energy exploration .,negative,positive,1
"In Finland , the launch of tie-in sales of 3G mobile phones did not cause a dramatic rush in mobile retail outlets during the first few days .",neutral,positive,1
Officials did not disclose the contract value .,neutral,positive,1
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",positive,neutral,0
