review_id,date,theme,key_phrase,star_rating,review_text
REV-0001,2024-01-01,customer_service,hotel service was awful,1,"not recommend hotel did reviewers actually stay hotel did, good thing hotel location really close leidseplein, shared facilities filthy got, did not look toilet floor cleaned month, facilities not cleaned 3 days got, disgusting, staff rude complained left night early refused refund night, not recommend hotel,  "
REV-0009,2024-01-08,product_quality,broken light in room,1,"par price stayed marco polo hotel 1 night november 18 19 time, check quick efficient got room no light working called reception, person housekeeping arrived 5 minutes later light bulbs quickly realized wrong light did not work, mentioned need engineer went reception change room not exactly want 16 hours trip europe got new room quickly worked fine, room large separate pantry old-fashioned worn fixtures furniture, tv small not possible bed, internet speed fine hkd 120 24 hours breakfast arrived m"
REV-0023,2024-01-21,product_quality,overpriced not trendy hotel,1,"overpriced not trendy research thought hip trendy area dissappointed hotel area, yes entrance hotel looks like south beach miami rooms not, just idea taste 28 boyfriend 37 traveled pretty destinations internationally, consider trendy crowd easy, usually hit new trendy clubs traffic sports bars wine bars, pictures posted hotel website say photographer did amazing job real life furniture looked like purchased ikea small rooms small closet area restrooms shower does not sliding door curtain nor exh"
REV-0030,2024-01-27,packaging,dirty and weedy beach,1,"not nice place good freshly squeezed fruit juices morning, good rest beech horrible, lot sea weed dirty water constant noise motor boats party boats, smell gasoline boats day long, daughter got stung sea lice second day spent days taking cortisone steroid pills shots getting wounds cleaned doctors office, n't care 240 medical bills best vacation getting, spots looked like 2nd degree burns cleared 3 months, resort management did n't want responsibility beach federal property resort not responsibl"
REV-0056,2024-02-20,customer_service,pathetic service at biltmore grill,1,"nice grounds pathetic service standards perspective frequent business traveler member highest tier hotel chain frequent stay program.good grounds nicely manicured original frank lloyd wright buildings iconic, service biltmore grill good, upgraded king room spacious.bad pathetic service starts arrival, valet/bell desk not offer help luggage, desk keys n't work causing return keys, 5 minute walk room summer 100+ degree temperatures, clock radio broken, coffee maker request none room delivered used"
REV-0057,2024-02-20,customer_service,poor service at georgetown restaurant,1,"ok not great, stayed weekend beginning september.check-in fine nice friendly receptionist promised great room nice good size nicely decorated good bathroom.it late hungry tried georgetown restaurant honest pretty poor, ordinary food i.e, better no chef means not-so-cheap prices, definitely _not_ eat here.next morning breakfast downstairs 2nd restaurant ok. restaurant kind cramped cooked food buffet style alright, apart chap appeared running place rest staff little like zombies asked nor care enj"
REV-0061,2024-02-24,customer_service,bad hotel experience,1,"watch scorpions- ouch recently stayed arizona biltmore time annual visit pheonix auctions, mistake inept check-in personnel kept credit-card initial room night lights heating did n't work requested non-smoking building cigarette smoke filling room 1am story does n't improve, highlight stay new room fourth floor bitten neck bed 2am scorpion critter no worse bee sting, came ventilation told, overall no compensation high price second rate rooms, far superior hotels pheonix favor stay away place,  "
REV-0067,2024-03-01,product_quality,vacation disaster hotel,1,"vacation disaster breezes punta cana boyfriend stayed breezes punta cana 20th 26th disappointed, resort desperate need new management say, problems encountered difficult simple toiletries towels wash cloths soap replaced calls, did not restock fridge soda water coffee creamer multiple calls, sheets pillow cases not changed prior arrival apparent, leave multiple notes finally changed, resort infested tiny bugs flies, eaten alive, flies food, speaking food food terrible, sick days vomiting diarrhe"
REV-0072,2024-03-05,product_quality,desperate need renovation,1,"rooms desparate need renovation, location hotel good, it__s not middle spring break party animals low budget tourists, you__re traveling children elder people you__ve got pretty good location, beach steps away unfortunatly building old need renovation especially bathrooms, say room clean mold mildew bathroom balcony carpet room smelled moist course problem hotel located directly beach high humidity salt water, think order riu good stay competitive hotels area hotel needs renovated asap, break"
REV-0084,2024-03-16,customer_service,unhelpful staff problems,1,"disappointing not particularly friendly staff refused provide double bed requested rooms available, demanded extra 25 euros provide room double bed, bathrooms new clean room starting look quite shabby stained carpets, thought bargain price paid 170 euros/night say little expensive quality service rooms,  "
REV-0088,2024-03-20,customer_service,security concerns for guests,1,"dazed confused having read reviews tripadvisor hoping nice budget hotel paris visit contacted hotel directly, rooms available decided ahead booking, asked provide bank card number including security code card information especially hotels small businesses chances fraud paramount, anybody access information stored hotel books forever steal card information happens left right center, security code told hotel not booking, regularly make reservations various hotels world asked provide level security"
REV-0092,2024-03-23,customer_service,hotel staff service was poor,5,"5 star room 3 star service pool wife stayed arts vacation, room nice clean, 5 star room standards, food restaurants good not excellent expensive, wine selection large, staff restaurants superb, hotel staff hand missed mark, hotel lets, asked types pillows online request, desk receptionist confirmed request, got room request not met, trouble working phone n't know phone, called help 4 times time told help way, no help arrived, requested birthday cake wife delievered particular time writing reciev"
REV-0100,2024-03-31,product_quality,hotel was overpriced,1,"great hotel 21 w hotel pretentious geared 20 year olds slightly sophisticated w san francisco chicago, pool tiny huge disappointment day mixture pounding techno music mixed random kids splashing parents staff allowing pool, amazed w allows kids run ghostbar super trendy filled pretentious dallas people, drinks tab friends tabs inaccurate, hotel overpriced, bed o.k, not great bedding looked old,  "
REV-0104,2024-04-03,customer_service,terrible service cleanliness,1,"better location great service cleanliness terrible, checked 5:30 pm travelling companions room not serviced given key problem getting room.one bath taps hanging wall hair drier, cut head towell rack standing turning bath tap drops blood hand basin remained days, coffee maker cups not cleaned second day, breakfast adjacent restuarant food fine service terrible coffee n't topped took 1 hour just omelette, lot better cheaper alternatives.the hotel benefit complete make staff,  "
REV-0106,2024-04-05,customer_service,poor staff service experience,5,"took care, stayed rincon beach resort weekend june 25th 27th, going checked website needed lookout, demanding service receive vacations teacher not wealthy treat afford myself.1.i read staff rude, not, asked rollaway bed got room minutes cheked somebody came make sure received, restaurant asked aout bagel son did n't want come breakfast thought say no buffet expected waiter come tell charge instead brought container.2.i read food reastaurant n't good pricey, menu no longer wannabe italian change"
REV-0112,2024-04-10,value_for_money,wrong hotel choice,5,"expected visit paris better imagined decision stay hotel le lavoisier, traveled extensively quite luxurious levels parts europe world eastern france not able historic beautiful city, high standards expectations decided trip avoid luxury hotels seek intimate hopefully attractive friendly comfortable boutique style lodging trip, rennovated updated townhome owned french scientist lavoisier wonderful find.on arrival day greeted warmly gracioius staff guest observed arrive depart stay feel waiting, c"
REV-0116,2024-04-14,product_quality,overrated ageing hotel,1,"overratted ageing hotel reading great reviews expecting magical, n't fooled tired ageing hotel rooms looking like 2 star property 5 star, definately not world class hotel stretch imagination, beds hard slept floor bathrooms poor condition.beware n't fooled,  "
REV-0119,2024-04-17,product_quality,average run resort,1,"average resort typical run resort, expecting excursions things resort did n't lot offer, mind resort huge, quite blisters feet walking darn, oh n't let fool, told prior booking trip not beach rooms total lie, slipped reception 50.00 got room beach pleasant, nightlife not, discos invaded locals shows ridiculous geared kids, oh like add beach great pool not, 3 pm everyday pool invaded locals, told staff lives resort kids released school access pools, disappointed extremely hard relax minimum 15 ch"
REV-0124,2024-04-21,customer_service,bad staff attitude,1,"average, staff attitude stayed convenience ferry terminals macau.check-in bar, lady counter attitude doing favour, got room smoking room stunk badly requested non-smoking, asked change actually smaller crammed room, small chair small desk used 45degree angle, not fit straight desk porer moved cases new room basically dumped walked room, staying night decided grin bear it.stay not likely,  "
REV-0126,2024-04-23,customer_service,poor service and room,1,"not bad expected booked hotel local travel agent, came home checked trip advisor wondered earth going, did want change glad did n't, room nothing like reports said, clean tidy, old building looks bit grotty end day place shower sleep obviously owners taken note previous reports, hotel not badly situated roof garden spectacular views city, n't great expectations wo n't disappointed expected worst quite surprised,  "
REV-0130,2024-04-27,product_quality,bad room and service,1,"hotel gets 3 stars hell 4 5 star venue depressing calamity arriving hotel felt sick stomach actually ended house truly awful place worse hotel experience dirty shoddy place looked like film set garish new york multiple murder story not kidding.read reviews save sanity,  "
REV-0132,2024-04-29,customer_service,unfriendly hotel staff,1,"unfriendly staff stayed hotel ariele days march 2007. breakfast attendant housekeeping staff friendly, rest staff formal responded short answers routine questions i.e. directions bus routes dry cleaners, wife daughter felt intruding asked questions, housekeeping staff open door knocking, location quite walk center town, wo n't return hotel,  "
REV-0146,2024-05-11,customer_service,unfriendly hotel staff,1,"location 10 hotel 2 know really got pretty bad experience hotel feel need log trip advisor rate place 48 hours getting home, second comments overall feel place n't know hotel featuring website parts saw including creepy dingy room labyrinthine gerbil cage hallways looked like n't cleaned painted 70, room dated awful cheap paneling, twin beds like sleeping slab surgical theatre, required creaky anxiety inducing elevator rides meters walk just floor room, staff really unfriendly case florence plac"
REV-0152,2024-05-17,customer_service,worst hotel company booked,1,"worst hotel company booked room hotel charged corporate rate, checked nothing short disastrous.there no tv room, called lobby asked tv acted committed sin, took second day stay received 13-inch tv remote control accompanied envelope requesting tip.i n't know website claims free wireless internet, no wireless internet service asked wired service charged 10 day.breakfast prepared overworked little old lady, clearly not geared people work early morning, used having hotels serve breakfast 6am signs "
REV-0156,2024-05-20,customer_service,poor service and value,1,"appalling check-in check-out hotel bills deluxe hotel, design brilliant totally impactical, lights not work baths taking 20 minutes service amateur wonder staff, room cleaned 5.00 p.m. staff walking room 8.30 a.m. unanounced, list endless interestingly noone cared, want service n't waste time, make sure n't leave bags reception stuck lables left permanent mark, check check total disaster, good value 50 euros not 400 euros,  "
REV-0162,2024-05-26,customer_service,hotel service extremely bad,1,"bad bad bad hotel verry bad pls not stay, close ramblas things service customer extremeley poor, terrible cant recommend,  "
REV-0169,2024-06-01,product_quality,dark damp smelly room,1,"disapointing 27/7/06 fife scotland 2 adults 1 child 14 just disapointing holiday room wasdark damp smelly 2 single beds small bed 510 son middle floor bathroom stinkingwe got room ok patio door did n't lock toilet did n't flush coffee maker broke 3x tv did n't work food disgusting covered flies entertainment 40 mins ametuer dancers nite went sosua got mobed locals scary not recommend holiday,  "
REV-0181,2024-06-12,product_quality,very bad experience hotel,1,"star ghetto motel hi arrived ant recomended suposed 4 star hotel enter lobby no marble outdated ugly tacky goto check-in line long empolyees rude finally rooms enter beds cramped no room inbetween room smelled humid air airconditoner smuggythe bathroom outdated coffe maker yes bathroom ugh sink clogged ants bathtub bugs bathroom raid like smell tiolet door, thou got stuck wanted open, look air vent bathroom room listen neighbor.nasty ok elevators getting stuck no ventilation whatso stunk people "
REV-0186,2024-06-17,customer_service,poor customer service,1,"not recommend just returned week paradisus, absolutely beautiful staff pretty friendly, stated place falls short ways quite disappointed, got told 23 occupancy, thought great no problems eating want, told book reservations dinners way ahead, tried night got told no openings, 23 occupancy restaurants, company trip mentioned marketing director proceeded check reservations gave 10 spots 3 different restaurants, does work, food pretty good tasting cold buffets not just little cold, expect better qua"
REV-0191,2024-06-21,product_quality,hotel rooms too noisy,1,"noisy wife booked nights hotel did not enjoy experience, clean friendly noise level resulted no sleep, rooms floor right hand building avoided, recycling trash bins outside windows collected early hours morning, windows did not lock properly provided no barrier outside noises, plus location excellent,  "
REV-0195,2024-06-25,product_quality,parking and noise huge problem,1,"clean rooms rooms hotel pro bowl 2/10-2/14, rooms clean hotel staff great, parking limited spaces small want avoid larger suv trailblazer explorer jeep etc.., parking 18 day noise huge problem, rooms located 6th 7th floor facing west, emergency stairwell doors rooms, people went doors 24 hours day doors slam closed everytime, street noise really bad floors hear people yelling laughing talking hours day, bar somehwere close night 2:30 3:30 dump glass bottles metal trash bin, goes 30 minutes, tras"
REV-0197,2024-06-27,product_quality,balcony not private,5,"architecture great user-centeredness low really hard complain biltmore pheonix, really lovely live interesting architecture lovely surroundings.having just concluded 3 nights business trip observation familir prairie school know rooms lovely balconies useless, blacony shared making impossible open drapes dressed fresh air, ca n't sleep door open risking walking room, obviously hard change architecture complaint, az love fresh air private balcony let enjoy surroundings, biltmore sleep ac drapes c"
REV-0199,2024-06-29,product_quality,room small outdated,1,"not 5 star hotel stayed hotel recent business trip, location great short walk central station easy access amsterdam attractions, not 5 star hotel reality tired 4 star hotel, room small dire need updating, 5th floor accessed lift hidden away hotel, despite higher floor left note hotel management ear plugs block noise dam square actually needed block loud awful music piped hotel corridors, looking window perfect view apartments opposite meant blinds closed times privacy, bathroom seen better days "
